#Velocidad lineal (m/s) 10 g	Tiempo (s) Automático
0.38	0.088
0.41	0.126
0.44	0.161
0.46	0.195
0.48	0.227
0.50	0.257
0.53	0.286
0.55	0.314
0.57	0.341
0.58	0.367
0.60	0.393
0.62	0.417
0.64	0.441
0.66	0.464
0.67	0.487
0.69	0.509
0.71	0.530
0.72	0.551
0.74	0.572
0.75	0.592
0.76	0.612
0.78	0.631
0.79	0.650
0.81	0.669
0.82	0.688
0.83	0.706
0.85	0.724
0.86	0.741
0.87	0.758
0.88	0.776
0.90	0.792
0.91	0.809
0.92	0.825
0.93	0.842
0.94	0.858
0.96	0.873
0.97	0.889
0.98	0.904
0.99	0.920
1.00	0.935
1.01	0.950
1.02	0.964
1.03	0.979
1.04	0.993
1.05	1.008
